date,co2
1958-03-01,316.1
1958-04-01,317.20000000000005
1958-05-01,317.43333333333334
1958-06-01,315.625
1958-07-01,315.625
1958-08-01,314.95000000000005
1958-09-01,313.5
1958-10-01,313.425
1958-11-01,313.425
1958-12-01,314.7
1959-01-01,315.5
1959-02-01,316.7
1959-03-01,316.73333333333335
1959-04-01,317.675
1959-05-01,318.325
1959-06-01,318.02500000000003
1959-07-01,316.525
1959-08-01,314.9
1959-09-01,313.825
1959-10-01,313.4
1959-11-01,314.875
1959-12-01,315.52500000000003
1960-01-01,316.38
1960-02-01,316.975
1960-03-01,317.575
1960-04-01,319.12
1960-05-01,319.925
1960-06-01,319.45
1960-07-01,318.06
1960-08-01,315.775
1960-09-01,314.175
1960-10-01,313.84000000000003
1960-11-01,315.025
1960-12-01,316.2
1961-01-01,316.925
1961-02-01,317.65
1961-03-01,318.525
1961-04-01,319.41999999999996
1961-05-01,320.475
1961-06-01,319.75
1961-07-01,318.32
1961-08-01,316.77500000000003
1961-09-01,315.03999999999996
1961-10-01,315.34999999999997
1961-11-01,316.05
1961-12-01,316.98
1962-01-01,317.925
1962-02-01,318.625
1962-03-01,319.67999999999995
1962-04-01,320.55
1962-05-01,320.9
1962-06-01,320.50000000000006
1962-07-01,319.425
1962-08-01,317.7333333333333
1962-09-01,316.06666666666666
1962-10-01,315.475
1962-11-01,316.54999999999995
1962-12-01,317.52500000000003
1963-01-01,318.725
1963-02-01,318.96666666666664
1963-03-01,319.86
1963-04-01,321.275
1963-05-01,322.09999999999997
1963-06-01,321.4599999999999
1963-07-01,319.6
1963-08-01,317.6
1963-09-01,316.15
1963-10-01,316.05
1963-11-01,317.0
1963-12-01,318.35
1964-01-01,319.40000000000003
1964-02-01,322.0
1964-03-01,322.0
1964-04-01,322.0
1964-05-01,322.0
1964-06-01,321.75
1964-07-01,320.3
1964-08-01,318.5
1964-09-01,316.6
1964-10-01,316.96000000000004
1964-11-01,317.725
1964-12-01,318.67499999999995
1965-01-01,319.4
1965-02-01,320.45
1965-03-01,320.92499999999995
1965-04-01,322.0
1965-05-01,322.06
1965-06-01,321.775
1965-07-01,321.0400000000001
1965-08-01,318.725
1965-09-01,317.825
1965-10-01,317.34
1965-11-01,318.875
1965-12-01,319.325
1966-01-01,320.53999999999996
1966-02-01,321.575
1966-03-01,322.375
1966-04-01,323.66
1966-05-01,324.025
1966-06-01,323.7
1966-07-01,322.85
1966-08-01,320.20000000000005
1966-09-01,318.7
1966-10-01,318.17999999999995
1966-11-01,319.90000000000003
1966-12-01,321.06
1967-01-01,322.4
1967-02-01,322.42499999999995
1967-03-01,323.0
1967-04-01,324.28000000000003
1967-05-01,324.95
1967-06-01,324.075
1967-07-01,322.48
1967-08-01,320.85
1967-09-01,319.3
1967-10-01,319.45
1967-11-01,320.67499999999995
1967-12-01,321.92
1968-01-01,322.55
1968-02-01,323.05
1968-03-01,323.92
1968-04-01,324.975
1968-05-01,325.475
1968-06-01,325.25999999999993
1968-07-01,324.025
1968-08-01,321.93999999999994
1968-09-01,320.25
1968-10-01,320.275
1968-11-01,321.32
1968-12-01,322.92499999999995
1969-01-01,323.92499999999995
1969-02-01,324.275
1969-03-01,325.59999999999997
1969-04-01,326.575
1969-05-01,327.28000000000003
1969-06-01,326.55
1969-07-01,325.79999999999995
1969-08-01,323.53999999999996
1969-09-01,322.4
1969-10-01,321.79999999999995
1969-11-01,322.82
1969-12-01,324.125
1970-01-01,325.08
1970-02-01,326.025
1970-03-01,327.0
1970-04-01,328.075
1970-05-01,327.91999999999996
1970-06-01,327.55
1970-07-01,326.29999999999995
1970-08-01,324.65999999999997
1970-09-01,323.15
1970-10-01,323.14
1970-11-01,324.05
1970-12-01,325.1
1971-01-01,326.14
1971-02-01,326.65
1971-03-01,327.20000000000005
1971-04-01,327.675
1971-05-01,328.82000000000005
1971-06-01,328.475
1971-07-01,327.22
1971-08-01,325.25
1971-09-01,323.4
1971-10-01,323.5400000000001
1971-11-01,324.825
